NOMBRE,NOMBRE-VIA,CODIGO-POSTAL,BARRIO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD
Agencia de Actividades,BUSTAMANTE,28045,DELICIAS,ARGANZUELA,441704,4472640,40.400449587879166,-3.6882686006118175
Agencia de Actividades. Registro,BUSTAMANTE,28045,DELICIAS,ARGANZUELA,441704,4472640,40.400449587879166,-3.6882686006118175
"�rea de Gobierno de Equidad, Derechos Sociales y Empleo",CHOPERA,28045,CHOPERA,ARGANZUELA,440786,4471949,40.39415981141737,-3.6990213657093163
Biblioteca P�blica Municipal Aluche (Latina),CAMARENA,28047,ALUCHE,LATINA,435929,4472190,40.39597072367931,-3.7562716852987847
Biblioteca P�blica Municipal Ana Mar�a Matute (Carabanchel),DE LOS COMUNEROS DE CASTILLA,28019,SAN ISIDRO,CARABANCHEL,438946,4472344,40.3975850662447,-3.7207386328562357
Biblioteca P�blica Municipal �ngel Gonz�lez (Latina),GRANJA DE TORREHERMOSA,28024,ALUCHE,LATINA,435063,4472320,40.397074625115906,-3.7664885474841556
Biblioteca P�blica Municipal Buenavista (Salamanca),TOREROS,28028,GUINDALERA,SALAMANCA,443202,4476130,40.43199309720514,-3.670929243543714
Biblioteca P�blica Municipal Canillejas (San Blas-Canillejas),BOLTA�A,28022,CANILLEJAS,SAN BLAS-CANILLEJAS,448229,4477693,40.44640229188281,-3.6117933204271098
Biblioteca P�blica Municipal Ciudad Lineal (Ciudad Lineal),HERMANOS GARCIA NOBLEJAS,28037,PUEBLO NUEVO,CIUDAD LINEAL,446054,4476600,40.43641736294729,-3.637346971302506
Biblioteca P�blica Municipal Conde Duque (Centro),CONDE DUQUE,28015,UNIVERSIDAD,CENTRO,439833,4475645,40.42738668300474,-3.7105999955473625
Biblioteca P�blica Municipal D�maso Alonso (Chamart�n),MANUEL FERRERO,28036,CASTILLA,CHAMARTIN,442072,4480075,40.467453379213175,-3.6846112774442705
Biblioteca P�blica Municipal Eugenio Tr�as. Casa de Fieras de El Retiro,FERNAN NU�EZ,28009,LOS JERONIMOS,RETIRO,442454,4474428,40.4166091081099,-3.6795930368034804
Biblioteca P�blica Municipal Francisco Ayala (Vic�lvaro),INDALECIO PRIETO,28032,VALDEBERNARDO,VICALVARO,447388,4472529,40.39982891410407,-3.621281890570377
Biblioteca P�blica Municipal Francisco Ib��ez (Chamart�n),MANTUANO,28002,CIUDAD JARDIN,CHAMARTIN,442766,4477922,40.44810636195716,-3.6762309620097398
Biblioteca P�blica Municipal Gabriel Garc�a M�rquez (Usera),PUEBLO,28041,ORCASUR,USERA,440582,4468910,40.366768324753416,-3.701141063083806
Biblioteca P�blica Municipal Gerardo Diego (Villa de Vallecas),MONTE AYA,28031,CASCO HISTORICO VALLECAS,VILLA DE VALLECAS,447248,4470096,40.37790196240434,-3.6227296605039516
Biblioteca P�blica Municipal Gloria Fuertes (Barajas),LOGRO�O,28042,CORRALEJOS,BARAJAS,449770,4479254,40.46055947228695,-3.5937461811785347
Biblioteca P�blica Municipal Huerta de la Salud (Hortaleza),MAR DE LAS ANTILLAS,28033,PINAR DEL REY,HORTALEZA,445295,4480968,40.47571688103069,-3.64667257750353
Biblioteca P�blica Municipal Islas Filipinas (Ciudad Lineal),NUESTRA SE�ORA DEL VILLAR,28017,VENTAS,CIUDAD LINEAL,444814,4475167,40.42342659084215,-3.651841641389484
Biblioteca P�blica Municipal Iv�n de Vargas (Centro),SAN JUSTO,28005,PALACIO,CENTRO,439884,4474170,40.41410290844665,-3.7098591212735883
Biblioteca P�blica Municipal Jos� Hierro (San Blas-Canillejas),MARIA SEVILLA DIAGO,28022,ROSAS,SAN BLAS-CANILLEJAS,448323,4476237,40.433291625973624,-3.6105662311927453
Biblioteca P�blica Municipal Jos� Saramago (Fuencarral-El Pardo),MONFORTE DE LEMOS,28029,EL PILAR,FUENCARRAL-EL PARDO,439977,4481329,40.47860087334554,-3.7094408342979954
Biblioteca P�blica Municipal La Chata (Carabanchel),GENERAL RICARDOS,28025,VISTA ALEGRE,CARABANCHEL,437123,4470774,40.38330593504341,-3.7420633861175796
Biblioteca P�blica Municipal Manuel V�zquez Montalb�n (Tetu�n),FRANCOS RODRIGUEZ,28039,BELLAS VISTAS,TETUAN,439865,4478987,40.45749513485957,-3.710539712535917
Biblioteca P�blica Municipal Mar�a Zambrano (Tetu�n),DONOSO,28029,ALMENARA,TETUAN,440967,4480259,40.46903299144094,-3.6976620067964996
Biblioteca P�blica Municipal Mario Vargas Llosa (Centro),BARCELO,28004,JUSTICIA,CENTRO,440755,4475555,40.426642215368176,-3.699722994908341
Biblioteca P�blica Municipal Miguel Delibes (Moratalaz),ARROYO BELINCOSO,28030,MEDIA LEGUA,MORATALAZ,444706,4473646,40.40971737692924,-3.6529822109115133
Biblioteca P�blica Municipal Pablo Neruda (Ciudad Lineal),ASCAO,28017,PUEBLO NUEVO,CIUDAD LINEAL,445680,4475825,40.42941133441142,-3.6416899839787695
Biblioteca P�blica Municipal P�o Baroja (Arganzuela),ARGANDA,28005,ACACIAS,ARGANZUELA,440076,4472607,40.40003652682007,-3.7074488154950584
Biblioteca P�blica Municipal Portazgo (Puente de Vallecas),CANTALAPIEDRA,28038,NUMANCIA,PUENTE DE VALLECAS,444486,4471813,40.393189968014696,-3.6554147649183943
Biblioteca P�blica Municipal Pozo del T�o Raimundo (Puente de Vallecas),GLORIETAS,28053,ENTREVIAS,PUENTE DE VALLECAS,444059,4469640,40.3735856436473,-3.6602546064905397
Biblioteca P�blica Municipal San Blas (San Blas-Canillejas),SAN ROMAN DEL VALLE,28037,ARCOS,SAN BLAS-CANILLEJAS,447358,4474793,40.420231627534996,-3.6218113860909074
Biblioteca P�blica Municipal Vallecas (Puente de Vallecas),PUERTO DEL MONASTERIO,28053,SAN DIEGO,PUENTE DE VALLECAS,443626,4472022,40.395023959810636,-3.665554302127492
Biblioteca P�blica Municipal Vic�lvaro,VILLARDONDIEGO,28032,CASCO HISTORICO VICALVARO,VICALVARO,448466,4473127,40.405283650744316,-3.6086278232922804
Centro Conde Duque,CONDE DUQUE,28015,UNIVERSIDAD,CENTRO,439869,4475716,40.42802889001877,-3.710182353581842
Centro Cultural Agust�n D�az (Moncloa - Aravaca),COMANDANTE FORTEA,28008,CASA DE CAMPO,MONCLOA-ARAVACA,437982,4475676,40.427538776051804,-3.732422725110936
Centro Cultural Alfredo Kraus (Fuencarral - El Pardo),PRADERA DE VAQUERIZAS,28035,MIRASIERRA,FUENCARRAL-EL PARDO,438957,4482694,40.49082275610172,-3.7216054330053647
Centro Cultural Almirante Churruca (Latina),FUENTE DEL TIRO,28024,LAS AGUILAS,LATINA,433895,4470766,40.3829835905706,-3.7800890564106613
Centro Cultural Antonio Machado (San Blas - Canillejas),SAN ROM�N DEL VALLE,28037,ARCOS,SAN BLAS-CANILLEJAS,447365,4474799,40.42027705095574,-3.621741078700336
Centro Cultural Aravaca (Moncloa - Aravaca),DE LA ZARZA,28023,ARAVACA,MONCLOA-ARAVACA,433479,4479145,40.45843103553325,-3.785855667139094
Centro Cultural Buenavista (Salamanca),TOREROS,28028,GUINDALERA,SALAMANCA,443202,4476130,40.43200210571468,-3.6709293330780204
Centro Cultural Buero Vallejo (San Blas - Canillejas),BOLTA&Ntilde,A,28022,CANILLEJAS,SAN BLAS-CANILLEJAS,448133,4477512,40.44477474902185
Centro Cultural Carril del Conde (Hortaleza),CARRIL DEL CONDE,28043,CANILLAS,HORTALEZA,444625,4479327,40.46088953531134,-3.6544210187969433
Centro Cultural Casa de Vacas (Retiro).,COLOMBIA,28009,LOS JERONIMOS,RETIRO,442077,4474703,40.41906024374356,-3.6840615387926956
Centro Cultural Casa del Reloj (Arganzuela),CHOPERA,28045,CHOPERA,ARGANZUELA,440695,4471989,40.394522745106734,-3.7000855961559855
Centro Cultural Ciudad Pegaso (San Blas - Canillejas),S�PTIMA,28022,REJAS,SAN BLAS-CANILLEJAS,449391,4477910,40.448428925762634,-3.5980969888187393
Centro Cultural Dotacional Integrado Arganzuela,CANARIAS,28045,PALOS DE MOGUER,ARGANZUELA,441089,4472825,40.40207279862862,-3.6955325387824014
Centro Cultural Eduardo �rculo (Tetu�n),DONOSO,28029,ALMENARA,TETUAN,440967,4480259,40.46903299144094,-3.6976620067964996
Centro Cultural el Madro�o (Vic�lvaro),VILLARDONDIEGO,28032,CASCO H.VICALVARO,VICALVARO,448466,4473127,40.405292721436055,-3.6086161200017157
Centro Cultural El Pozo (Puente de Vallecas),DE LAS GLORIETAS,28053,ENTREVIAS,PUENTE DE VALLECAS,444059,4469640,40.3735856436473,-3.6602546064905397
